# Build OS memory kernel — the append-only event ledger. Canonical.
# EVERY ROW IS DIGEST-CHAINED TO THE ONE BEFORE IT. Editing, inserting or
# removing a row breaks every digest after it, which is the point.
# FIELDS: event_id	event_type	occurred_at	recorded_at	actor_id	surface_id	namespace_id	object_id	object_version	causation_id	correlation_id	authority_ref	evidence_refs	payload_ref	integrity_hash
# Row count: grep -c "^EVT-".
EVT-0001	ObjectCreated	2026-08-02T14:45:44Z	2026-08-02T14:45:44Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0001	1	-	-	operator	-	GOAL: Claude closes work into Gravito memory and ChatGPT consumes the governed project state without Sam copying the transcript.	a38b3872c509cecba4f4a26547e27ae4a9e2e81555ec0034edabc34901c54299
EVT-0002	ObjectCreated	2026-08-02T14:45:44Z	2026-08-02T14:45:44Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0002	1	-	-	operator	ART-0001	CONTROL registry.evidence_resolution — an evidence reference must resolve, and resolvability is NOT identity.	eb8ab16e1b24f2ae0460018cb70451ee43e8c9b4ee876d4abef29ffc262f0fcc
EVT-0003	ObjectCreated	2026-08-02T14:45:44Z	2026-08-02T14:45:44Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0003	1	-	-	operator	ART-0002	DECISION-0011-p5b-next-after-p3b — sealed; selector=operator; the candidate p5b citation-anchor-tokens was selected from a ranked set.	488bf7861f4de28b795df5785ffbb918b061a5aaa8032be2207854a885c1fd65
EVT-0004	ObjectCreated	2026-08-02T14:45:45Z	2026-08-02T14:45:45Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0004	1	-	-	operator	ART-0008	RANKING SIGNAL-SNAPSHOT-0094-seal-anchors — rank_of_selected=1@measured, frozen at decision time and digest-chained.	3534a68cb3f86c564a8c681c5705345db3b544d49d569ce7048d493314bc8f59
EVT-0005	ObjectCreated	2026-08-02T14:45:45Z	2026-08-02T14:45:45Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0005	1	-	-	operator	ART-0009	OUTCOME packet-outcome:gravito_p5_outcome_counterfactual_telemetry_a — recorded in the packet metrics store.	af920a922e8b9a017f733cb2ae7c8e0b854d6279cb5a1811257852e2c7c866d0
EVT-0006	ObjectCreated	2026-08-02T14:45:45Z	2026-08-02T14:45:45Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0006	1	-	-	operator	ART-0007	RECEIPT gravito_p5_outcome_counterfactual_telemetry_a — the receipt that sealed the ranking.	3c9e3b404e06ac3669339946b3c212253a7a08ca40a25bed54687b9fbb344599
EVT-0007	ObjectCreated	2026-08-02T14:45:45Z	2026-08-02T14:45:45Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0007	1	-	-	operator	ART-0004	FINDING-0003-mutators-emit-no-receipt — OPEN. The most consequential write in the system emits no receipt.	3185e6dac3ffe76a6dedd05a459839e4c8b7ec75bbea1e9582d5b96c034fc78a
EVT-0008	ObjectCreated	2026-08-02T14:45:46Z	2026-08-02T14:45:46Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0008	1	-	-	operator	ART-0005	EVIDENCE EV-0001-tripwire-coverage-detection-bare-node — a claim-scoped evidence assertion.	4ee7e3be2fd33899d4d5bb515792926be570ef561daa854313e83ca853847330
EVT-0009	ObjectCreated	2026-08-02T14:45:46Z	2026-08-02T14:45:46Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0009	1	-	-	operator	-	PACKET-0035-cross-surface-memory-kernel — IN FLIGHT: the memory kernel v0 is being built.	1097000cb6830c66267838a1fbb8ff38b597a222d75c7257a61bbbaafe75ba89
EVT-0010	ObjectCreated	2026-08-02T14:45:46Z	2026-08-02T14:45:46Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0010	1	-	-	operator	-	OPEN DECISION: which surface, if any, may hold write authority into the kernel stores besides the governed adapter. Not decided; S1 promotion and autonomous dispatch are explicitly out of scope for v0.	cf276c78f35119d456444d540ef060fd749aab84e52580923cfeba71a3f13512
EVT-0011	ObjectCreated	2026-08-02T14:45:46Z	2026-08-02T14:45:46Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0011	1	-	-	operator	ART-0011	FINDING: under set -o pipefail a producer killed by SIGPIPE when grep -q exits early returns 141, so a PASSING assertion reports FAIL. Measured at 117 of 4000 iterations (2.9%) against the live packet metrics store.	9159b355a675ac626ce521d652ad4934db4f67b0591fd7bb6608d094cf006750
EVT-0012	ObjectCreated	2026-08-02T14:45:47Z	2026-08-02T14:45:47Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0013	1	-	-	operator	-	REPORTED: the repository suite total is a stable 1995 passed / 0 failed at this base. Recorded as reported rather than observed because this builder's own base run returned 1994/1.	f3e72226eb614bedb09a346892fe6a664604168ad4d5442647bb414f99feacc5
EVT-0013	ObjectCreated	2026-08-02T14:45:47Z	2026-08-02T14:45:47Z	ACT-0004	claude.cowork.session.sibling	NS-0008	OBJ-0012	1	-	-	operator	-	A SIBLING PROJECT'S WORK ITEM. Nothing compiled for NS-0006 may include it.	eed8c251a17341fdebbf30c3cee22bd178ebaf48f36c66294385b5eddd586dab
EVT-0014	ObjectVersioned	2026-08-02T14:45:47Z	2026-08-02T14:45:47Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0009	2	-	-	operator	ART-0003	PACKET-0035-cross-surface-memory-kernel — BUILT: eight canonical stores, one governed adapter, a deterministic context compiler, a version-bound context package and a transcript-free ChatGPT export.	8b1413dc023714ea026b33a3df77b6b805217c0bee54ab84533e08cd3add1875
EVT-0015	PacketStarted	2026-08-02T14:45:48Z	2026-08-02T14:45:48Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0009	1	-	-	operator	-	-	dbfdedf1b95d6e7145fa756badd86792f5e3d190c1eb2336cd5007a9fca983c1
EVT-0016	RankingCreated	2026-08-02T14:45:48Z	2026-08-02T14:45:48Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0004	1	-	-	operator	ART-0008	-	2b231940add140e52b207cbd8290ddaa3a648d5afb4dc2a0787e5796e075f4ee
EVT-0017	DecisionSealed	2026-08-02T14:45:48Z	2026-08-02T14:45:48Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0003	1	-	-	operator	ART-0002	-	47268091445126f490f6ecd47830892da2718c3ddbbdad3a4313eeac132faad7
EVT-0018	DecisionSelected	2026-08-02T14:45:49Z	2026-08-02T14:45:49Z	ACT-0001	operator.sam.local	NS-0006	OBJ-0003	1	-	-	operator	ART-0002	-	983c05e4184ec0630565fd9d87f21785311b753df5d625d851624e20c1e600c0
EVT-0019	OutcomeRecorded	2026-08-02T14:45:49Z	2026-08-02T14:45:49Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0005	1	-	-	operator	ART-0009	-	e71542d0f517d844b966ca45d9368bee6a3117bb2a953218bb10cf43ea8c7cfe
EVT-0020	EvidenceAttached	2026-08-02T14:45:49Z	2026-08-02T14:45:49Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0008	1	-	-	operator	ART-0005	-	f4267d04e10082690a7a72da38a567b7c878b235c55ab870a0c075540ebec06e
EVT-0021	FindingRecorded	2026-08-02T14:45:49Z	2026-08-02T14:45:49Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0011	1	-	-	operator	ART-0011	-	8246cadc204f3733889e22ad7a7aecf2013a692859abcf2bc16551cdbcb72357
EVT-0022	PacketClosed	2026-08-02T14:45:49Z	2026-08-02T14:45:49Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	OBJ-0009	2	-	-	operator	ART-0003	-	544cce4f58efa53423f6ae297d84dbb46b948fa4c59a1ef0774917513d976cc2
EVT-0023	HandoffCreated	2026-08-02T14:45:50Z	2026-08-02T14:45:50Z	ACT-0002	claude.cowork.session.ramhds	NS-0006	-	-	-	-	operator	ART-0001;ART-0002;ART-0003;ART-0004;ART-0005;ART-0007;ART-0008;ART-0009;ART-0011	HOF-0001	1516a8b8ba60d584803b87df065d1d738cf20532fecf85d9c106d885c6496de1
EVT-0024	ContextCompiled	2026-08-02T14:45:52Z	2026-08-02T14:45:52Z	ACT-0003	chatgpt.web.session.strategy-01	NS-0006	-	-	-	-	-	-	CTX-0001	b08cc301f69b89ca25fa5bebb3daebbb19f3a2e7f9ca38877eb68633e2e60242
EVT-0025	HandoffAccepted	2026-08-02T14:45:53Z	2026-08-02T14:45:53Z	ACT-0003	chatgpt.web.session.strategy-01	NS-0006	-	-	-	-	operator	ART-0001;ART-0002;ART-0003;ART-0004;ART-0005;ART-0007;ART-0008;ART-0009;ART-0011	HOF-0001	4659686a985c5195ce99dbe4c7f851189939b22527152d602d30a26a09db939a
