# decision-telemetry-v1
#
# WHAT WAS CHOSEN, WHY, WHAT IT COST, AND WHAT HAPPENED. One row per decision.
# Written only by build-os/metrics/record-decision.sh, which refuses a row this
# store cannot later be trusted about.
#
# ---------------------------------------------------------------------------
# AN UNKNOWN IS NOT A ZERO, AND THAT IS THE WHOLE POINT OF THE COLUMN FORMAT.
# ---------------------------------------------------------------------------
# Every quantitative field is either the literal `unknown` or `<value>@<provenance>`
# with provenance in measured / derived / reported. A BARE NUMBER IS REFUSED.
# Omitting a field yields `unknown`, never 0, so the easy path is the honest one.
# `0@measured` is legal and means something completely different from `unknown`:
# zero fix rounds is a measurement, and nobody having counted is not.
#
# NOTHING HERE WAS BACK-FILLED BY INFERENCE. The historical rows carry `unknown`
# in almost every quantitative column because those quantities were never
# measured. The two exceptions are DECISION-0001's wall_minutes and
# serial_minutes, marked `@derived`, and the derivation is stated so it is
# reproducible: they are copied from build-os/metrics/packet_metrics.tsv's
# `wall_min` and `serial_min` columns for the packet
# `gravito_fanout_lanes_scaffold_release_a`, which is the only historical packet
# whose row carries them. Every other packet's row records `-` in those columns,
# and that store's own note says they "were never recorded and are left empty
# rather than reconstructed from commit timestamps". That judgement is inherited
# here rather than quietly reversed.
#
# THE `defect_classes_*` COLUMNS reference DEFECT-* ids from
# build-os/registry/defect_classes.txt, `;`-separated. They record what was
# DETECTED and what ESCAPED at the packet's gates, migrated from the receipts —
# which is why they too are `unknown` wherever the receipt does not say.
#
# `selector` records WHO CHOSE, and it is not decoration: DECISION-0007 was
# selected by the operator against the only ordering signal that existed, and a
# later evaluation of whether the signals are worth having needs to know that the
# signal was overruled rather than absent.
decision_id	decision_time	candidate_ids	selected_candidate_id	selector	selection_reason	expected_outcome	signal_snapshot_ref	started_at	completed_at	wall_minutes	serial_minutes	agent_minutes	human_attention_minutes	model_calls	estimated_tokens	estimated_cost	estimated_energy	fix_rounds	review_rounds	defect_classes_introduced	defect_classes_detected	defect_classes_escaped	rework_count	rollback_count	result	durability_status
DECISION-0001-fanout-lanes-scaffold-release	2026-07-29	PACKET-0007-lanes;PACKET-0008-scaffold-seeding;PACKET-0009-release-metadata	PACKET-0007-lanes;PACKET-0008-scaffold-seeding;PACKET-0009-release-metadata	operator	three items were mutually independent, so they were fanned out rather than sequenced	three packets close for one packet's wall-clock	unknown	unknown	unknown	13.7@derived	37.9@derived	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	shipped	durable
DECISION-0002-census-gaps-egress-bandwidth	2026-07-31	PACKET-0010-census-gaps-egress-bandwidth	PACKET-0010-census-gaps-egress-bandwidth	operator	the census had named gaps and the egress/bandwidth pair was the largest of them	the named gaps close and the census stops undercounting itself	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	DEFECT-0001-stale-line-reference	unknown	unknown	unknown	shipped	durable
DECISION-0003-evidence-policy-matrix	2026-07-31	PACKET-0011-evidence-policy-matrix	PACKET-0011-evidence-policy-matrix	operator	the licence table was one-dimensional, so evidence quality could not cap authority	a second axis exists and reports, without re-authorising anything	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	DEFECT-0001-stale-line-reference;DEFECT-0002-stale-remembered-count	unknown	unknown	unknown	shipped	durable
DECISION-0004-authority-envelope	2026-08-01	PACKET-0012-authority-envelope	PACKET-0012-authority-envelope	operator	who granted what, in which deployment mode, until when, was recorded nowhere	a third axis exists and binds 0 findings until an envelope is written	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	DEFECT-0011-undeclared-active-packet	unknown	unknown	unknown	shipped	durable
DECISION-0005-mismatch-refuted	2026-08-01	PACKET-0013-mismatch-refuted	PACKET-0013-mismatch-refuted	operator	two controls were measured and found not to discriminate	the two demotions are measured and refused, and nothing moves silently	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	DEFECT-0006-unchained-live-verification	unknown	unknown	shipped	durable
DECISION-0006-ladder-semantics	2026-08-01	PACKET-0014-ladder-semantics	PACKET-0014-ladder-semantics	operator	the refuted-to-observe cap was an unreachable remedy for definitional reasons	observe is redefined by consequence and execute is added; no licence moves	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	DEFECT-0001-stale-line-reference;DEFECT-0006-unchained-live-verification	unknown	unknown	unknown	shipped	durable
DECISION-0007-p1-mutators-ids-telemetry	2026-08-01	PACKET-0015-mutation-census;PACKET-0016-citation-identity-anchor;PACKET-0017-chain-the-live-suite;PACKET-0018-ladder-spelling-sweep	PACKET-0015-mutation-census	operator	the operator ruled it, and the ruling outranked the only ordering signal that existed: the selected candidate scored 0 on dependency_unlock_count while PACKET-0016 scored 1	every known mutator becomes visible to the authority model, and the first durable decision-data structures exist	SIGNAL-SNAPSHOT-0001-unlock-mutation-census;SIGNAL-SNAPSHOT-0002-licence-mutation-census;SIGNAL-SNAPSHOT-0003-mismatch-mutation-census	2026-08-01	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	DEFECT-0007-incomplete-enumeration;DEFECT-0003-duplicate-semantic-truth	unknown	unknown	unknown	in_flight	unknown
DECISION-0008-p2-claim-scoped-evidence	2026-08-01	PACKET-0019-gravito-p2-claim-scoped-evidence-a;PACKET-0020-widen-control-registry-with-claim-fields;PACKET-0021-fold-assertions-into-evidence-policy;PACKET-0022-untested-token-only	PACKET-0019-gravito-p2-claim-scoped-evidence-a	operator	the operator's five-phase sequence named P2, and the only candidate that can represent the canonical fixture WITHOUT either widening a closed field list or introducing an exit-2 path that owns no registry entry is the separate store. It was ALSO the most expensive on the one signal that ranks cost: it is the only arm with census_growth_controls > 0 (3), so the selection went against the cheap signal rather than with it.	a control can carry opposed verdicts on different claims without either collapsing the other; the legacy empirical_status field stays readable through a deterministic composite that cannot drop a refutation or raise a licence	SIGNAL-SNAPSHOT-0013-store-and-tool-growth;SIGNAL-SNAPSHOT-0014-widen-registry-growth;SIGNAL-SNAPSHOT-0015-fold-into-policy-growth;SIGNAL-SNAPSHOT-0016-untested-only-growth;SIGNAL-SNAPSHOT-0017-store-and-tool-widening;SIGNAL-SNAPSHOT-0018-widen-registry-widening;SIGNAL-SNAPSHOT-0019-fold-into-policy-widening;SIGNAL-SNAPSHOT-0020-untested-only-widening;SIGNAL-SNAPSHOT-0021-store-and-tool-fixture;SIGNAL-SNAPSHOT-0022-widen-registry-fixture;SIGNAL-SNAPSHOT-0023-fold-into-policy-fixture;SIGNAL-SNAPSHOT-0024-untested-only-fixture;SIGNAL-SNAPSHOT-0025-store-and-tool-unclassified;SIGNAL-SNAPSHOT-0026-widen-registry-unclassified;SIGNAL-SNAPSHOT-0027-fold-into-policy-unclassified;SIGNAL-SNAPSHOT-0028-untested-only-unclassified	2026-08-01	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	DEFECT-0001-stale-line-reference;DEFECT-0002-stale-remembered-count;DEFECT-0007-incomplete-enumeration;DEFECT-0009-silently-truncated-help-range	unknown	unknown	unknown	in_flight	unknown
DECISION-0009-p3-accept-and-constrain	2026-08-01	PACKET-0023-gravito-p3-accept-and-constrain-a;PACKET-0024-disposition-as-registry-field;PACKET-0025-expiry-only-defer-disposition;PACKET-0026-disposition-only-defer-expiry	PACKET-0023-gravito-p3-accept-and-constrain-a	operator	the operator's five-phase sequence named P3, and a standing residue ruling assigns expiry enforcement to the same packet, so the two arms that split them (PACKET-0025, PACKET-0026) each leave a named obligation open. PACKET-0024 was the cheap arm on the only signal that ranks cost — census_growth_controls 0 against the selected arm's 4 — and it was rejected because a disposition field on control_registry.txt requires widening a CLOSED field list whose every-field-present check would fail all 97 entries, and because a field has no validator that can REFUSE a non-qualifying subject, so the maint.source_scan_mask discipline test would not be representable at all. THE SELECTION WENT AGAINST THE CHEAP SIGNAL: the chosen arm is the MOST expensive of the four on census growth, and it is the only one that scores 1 on both residue_ruling_satisfied and discriminating_negative_fixture_representable	a fifth disposition exists, is applied to exactly ONE control, refuses its neighbour by name with the census's own words, and clears no mismatch; and an authority envelope outside its lease term contributes no grant in either direction, reported LAPSED or NOT-YET-LIVE, with the clock overridable and announced	SIGNAL-SNAPSHOT-0029-store-and-tool-growth;SIGNAL-SNAPSHOT-0030-registry-field-growth;SIGNAL-SNAPSHOT-0031-expiry-only-growth;SIGNAL-SNAPSHOT-0032-disposition-only-growth;SIGNAL-SNAPSHOT-0033-store-and-tool-widening;SIGNAL-SNAPSHOT-0034-registry-field-widening;SIGNAL-SNAPSHOT-0035-expiry-only-widening;SIGNAL-SNAPSHOT-0036-disposition-only-widening;SIGNAL-SNAPSHOT-0037-store-and-tool-residue;SIGNAL-SNAPSHOT-0038-registry-field-residue;SIGNAL-SNAPSHOT-0039-expiry-only-residue;SIGNAL-SNAPSHOT-0040-disposition-only-residue;SIGNAL-SNAPSHOT-0041-store-and-tool-negfixture;SIGNAL-SNAPSHOT-0042-registry-field-negfixture;SIGNAL-SNAPSHOT-0043-expiry-only-negfixture;SIGNAL-SNAPSHOT-0044-disposition-only-negfixture	2026-08-01	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	in_flight	unknown
DECISION-0010-p4-s1-shadow-ranker	2026-08-01	PACKET-0027-p3b-count-derivation;PACKET-0028-positional-content-pairing-guard;PACKET-0029-citation-anchor-tokens;PACKET-0030-mutation-census-coverage-gap;PACKET-0031-governance-baseline-completeness;PACKET-0032-p5-outcome-counterfactual-telemetry;PACKET-0033-observe-advise-boundary-recheckable	PACKET-0027-p3b-count-derivation	reviewer	SELECTED BEFORE S1 EXISTED, WHICH IS WHAT MAKES rank_of_selected NON-CIRCULAR. The re-cut was endorsed by the reviewer at the gravito_p3_accept_and_constrain_a close and staged in build-os/packets/active_packet.md as the contract's own remedy for a fourth serial stage; it is the only candidate in the set that a standing ruling names as NEXT rather than as queued. S1 ranked this set afterwards and consumed nothing: it holds runtime_authority observe, it wrote no row here, and no policy in this repository reads its ordering.	the five counts stated in two places across residue (hhh)-(lll) are DERIVED rather than restated, closing the counts half of DEFECT-0003-duplicate-semantic-truth that P3 left to hand	SIGNAL-SNAPSHOT-0045-p3b-surface;SIGNAL-SNAPSHOT-0046-p3b-items;SIGNAL-SNAPSHOT-0047-p3b-ruling;SIGNAL-SNAPSHOT-0048-p3b-growth;SIGNAL-SNAPSHOT-0049-pairing-surface;SIGNAL-SNAPSHOT-0050-pairing-items;SIGNAL-SNAPSHOT-0051-pairing-ruling;SIGNAL-SNAPSHOT-0052-pairing-growth;SIGNAL-SNAPSHOT-0053-anchors-surface;SIGNAL-SNAPSHOT-0054-anchors-items;SIGNAL-SNAPSHOT-0055-anchors-ruling;SIGNAL-SNAPSHOT-0056-anchors-growth;SIGNAL-SNAPSHOT-0057-mutcensus-surface;SIGNAL-SNAPSHOT-0058-mutcensus-items;SIGNAL-SNAPSHOT-0059-mutcensus-ruling;SIGNAL-SNAPSHOT-0060-mutcensus-growth;SIGNAL-SNAPSHOT-0061-baseline-surface;SIGNAL-SNAPSHOT-0062-baseline-items;SIGNAL-SNAPSHOT-0063-baseline-ruling;SIGNAL-SNAPSHOT-0064-baseline-growth;SIGNAL-SNAPSHOT-0065-p5outcome-surface;SIGNAL-SNAPSHOT-0066-p5outcome-items;SIGNAL-SNAPSHOT-0067-p5outcome-ruling;SIGNAL-SNAPSHOT-0068-p5outcome-growth;SIGNAL-SNAPSHOT-0069-observeadvise-surface;SIGNAL-SNAPSHOT-0070-observeadvise-items;SIGNAL-SNAPSHOT-0071-observeadvise-ruling;SIGNAL-SNAPSHOT-0072-observeadvise-growth	2026-08-01	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	DEFECT-0003-duplicate-semantic-truth	unknown	unknown	unknown	in_flight	unknown
DECISION-0011-p5b-next-after-p3b	2026-08-02	PACKET-0028-positional-content-pairing-guard;PACKET-0029-citation-anchor-tokens;PACKET-0030-mutation-census-coverage-gap;PACKET-0031-governance-baseline-completeness;PACKET-0033-observe-advise-boundary-recheckable	PACKET-0029-citation-anchor-tokens	operator	Selected because stable semantic anchors are a direct prerequisite for persistent cross-surface memory, recurrence analysis, context compilation, and durable object identity. S1 ranked it first, but this selection does not by itself validate S1's judgment.	Stable semantic anchors exist for the declared object types and survive line movement; positional references are demoted to navigation hints and are no longer canonical identity; historical receipts and the sealed DECISION-0011 ordering continue to resolve after repository line positions change.	SIGNAL-SNAPSHOT-0073-pairing-surface;SIGNAL-SNAPSHOT-0074-pairing-items;SIGNAL-SNAPSHOT-0075-pairing-ruling;SIGNAL-SNAPSHOT-0076-pairing-growth;SIGNAL-SNAPSHOT-0077-anchors-surface;SIGNAL-SNAPSHOT-0078-anchors-items;SIGNAL-SNAPSHOT-0079-anchors-ruling;SIGNAL-SNAPSHOT-0080-anchors-growth;SIGNAL-SNAPSHOT-0081-mutcensus-surface;SIGNAL-SNAPSHOT-0082-mutcensus-items;SIGNAL-SNAPSHOT-0083-mutcensus-ruling;SIGNAL-SNAPSHOT-0084-mutcensus-growth;SIGNAL-SNAPSHOT-0085-baseline-surface;SIGNAL-SNAPSHOT-0086-baseline-items;SIGNAL-SNAPSHOT-0087-baseline-ruling;SIGNAL-SNAPSHOT-0088-baseline-growth;SIGNAL-SNAPSHOT-0089-observeadvise-surface;SIGNAL-SNAPSHOT-0090-observeadvise-items;SIGNAL-SNAPSHOT-0091-observeadvise-ruling;SIGNAL-SNAPSHOT-0092-observeadvise-growth;SIGNAL-SNAPSHOT-0093-seal-pairing;SIGNAL-SNAPSHOT-0094-seal-anchors;SIGNAL-SNAPSHOT-0095-seal-mutcensus;SIGNAL-SNAPSHOT-0096-seal-baseline;SIGNAL-SNAPSHOT-0097-seal-observeadvise	2026-08-02	2026-08-02	65@reported	unknown	unknown	unknown	unknown	unknown	unknown	unknown	1@measured	1@measured	none	DEFECT-0001-stale-line-reference;DEFECT-0002-stale-remembered-count;DEFECT-0003-duplicate-semantic-truth	unknown	13@derived	unknown	shipped	unknown
