# Build OS memory kernel — typed object envelopes. Canonical. Tab-separated.
# ONE ROW PER (object_id, version). A correction is a NEW ROW, never an edit.
# FIELDS: object_id	object_type	schema_version	namespace_id	version	status	created_at	updated_at	created_by	updated_by	owner_id	authority_ref	evidence_refs	source_refs	supersedes	confidence	sensitivity	retention_class	truth_state	content_hash	payload_ref
# Row count: grep -c "^OBJ-".
OBJ-0001	goal	1	NS-0006	1	active	2026-08-02T14:45:44Z	2026-08-02T14:45:44Z	ACT-0002	ACT-0002	ACT-0002	operator	-	-	-	-	internal	project	decided	1f96f3a4291eeec2227b1f6831eebada1d701c3fbba76b32e57228f097b18a1a	GOAL: Claude closes work into Gravito memory and ChatGPT consumes the governed project state without Sam copying the transcript.
OBJ-0002	control	1	NS-0006	1	active	2026-08-02T14:45:44Z	2026-08-02T14:45:44Z	ACT-0002	ACT-0002	ACT-0002	operator	ART-0001	-	-	-	internal	project	observed	41b1e9d7744b0610bd62825d2bfc02524bc3625673963cf282aa2fb8c468f893	CONTROL registry.evidence_resolution — an evidence reference must resolve, and resolvability is NOT identity.
OBJ-0003	decision	1	NS-0006	1	sealed	2026-08-02T14:45:44Z	2026-08-02T14:45:44Z	ACT-0002	ACT-0002	ACT-0002	operator	ART-0002	-	-	-	internal	project	decided	524970d2de107bdfb6e7228b2289642a5e22a0de44e556b10e7e77ac6c89ce94	DECISION-0011-p5b-next-after-p3b — sealed; selector=operator; the candidate p5b citation-anchor-tokens was selected from a ranked set.
OBJ-0004	ranking	1	NS-0006	1	active	2026-08-02T14:45:44Z	2026-08-02T14:45:44Z	ACT-0002	ACT-0002	ACT-0002	operator	ART-0008	-	-	-	internal	project	observed	735fbeef3a57e25f12f7c3025695f8aa4dbfc0500ebbff44cf0ad01a29beb277	RANKING SIGNAL-SNAPSHOT-0094-seal-anchors — rank_of_selected=1@measured, frozen at decision time and digest-chained.
OBJ-0005	outcome	1	NS-0006	1	active	2026-08-02T14:45:45Z	2026-08-02T14:45:45Z	ACT-0002	ACT-0002	ACT-0002	operator	ART-0009	-	-	-	internal	project	observed	41b34f09128d9e631b08842079b19442b1161721d7d2790146a3580c21c2a1f2	OUTCOME packet-outcome:gravito_p5_outcome_counterfactual_telemetry_a — recorded in the packet metrics store.
OBJ-0006	receipt	1	NS-0006	1	closed	2026-08-02T14:45:45Z	2026-08-02T14:45:45Z	ACT-0002	ACT-0002	ACT-0002	operator	ART-0007	-	-	-	internal	project	observed	ccd43a8663fa859733e2752ac6a00d9e5bd869530cd03f979159e8c45d4d7a5a	RECEIPT gravito_p5_outcome_counterfactual_telemetry_a — the receipt that sealed the ranking.
OBJ-0007	finding	1	NS-0006	1	open	2026-08-02T14:45:45Z	2026-08-02T14:45:45Z	ACT-0002	ACT-0002	ACT-0002	operator	ART-0004	-	-	-	internal	project	reported	12a8d0c77dd6cfacf1d48617ee23c3175abca5d1fc7b8f0f583377f04a123ce8	FINDING-0003-mutators-emit-no-receipt — OPEN. The most consequential write in the system emits no receipt.
OBJ-0008	evidence	1	NS-0006	1	active	2026-08-02T14:45:46Z	2026-08-02T14:45:46Z	ACT-0002	ACT-0002	ACT-0002	operator	ART-0005	-	-	-	internal	project	observed	56b230256143ce90daf83f9ec6f003fb809c1293db74a973dbd24f813df85168	EVIDENCE EV-0001-tripwire-coverage-detection-bare-node — a claim-scoped evidence assertion.
OBJ-0009	task	1	NS-0006	1	open	2026-08-02T14:45:46Z	2026-08-02T14:45:46Z	ACT-0002	ACT-0002	ACT-0002	operator	-	-	-	-	internal	project	reported	bcd6d5d70d46e07131335e22355f1362421a45b8456334a9bbfdf4a9b936436e	PACKET-0035-cross-surface-memory-kernel — IN FLIGHT: the memory kernel v0 is being built.
OBJ-0010	decision	1	NS-0006	1	open	2026-08-02T14:45:46Z	2026-08-02T14:45:46Z	ACT-0002	ACT-0002	ACT-0002	operator	-	-	-	-	internal	project	unknown	d728d326328074b8e47359c0f01b6fdb46c762230712de737049122fb6b38dc1	OPEN DECISION: which surface, if any, may hold write authority into the kernel stores besides the governed adapter. Not decided; S1 promotion and autonomous dispatch are explicitly out of scope for v0.
OBJ-0011	finding	1	NS-0006	1	open	2026-08-02T14:45:46Z	2026-08-02T14:45:46Z	ACT-0002	ACT-0002	ACT-0002	operator	ART-0011	-	-	-	internal	project	observed	1560d5a960cea4e9e0a31c93e5f6d03ba504ec13f1bcb816a82ad6ee066414af	FINDING: under set -o pipefail a producer killed by SIGPIPE when grep -q exits early returns 141, so a PASSING assertion reports FAIL. Measured at 117 of 4000 iterations (2.9%) against the live packet metrics store.
OBJ-0013	finding	1	NS-0006	1	open	2026-08-02T14:45:47Z	2026-08-02T14:45:47Z	ACT-0002	ACT-0002	ACT-0002	operator	-	-	-	-	internal	project	reported	6d0125e59bcfa42395616de4459d0adcfb7c6625c551515f5033a123aab9d4b5	REPORTED: the repository suite total is a stable 1995 passed / 0 failed at this base. Recorded as reported rather than observed because this builder's own base run returned 1994/1.
OBJ-0012	task	1	NS-0008	1	open	2026-08-02T14:45:47Z	2026-08-02T14:45:47Z	ACT-0004	ACT-0004	ACT-0004	operator	-	-	-	-	internal	project	reported	d4d60c19cbfb9468d6e9c3b7e5951413ec62cf2643622258383f4a4857ff57ff	A SIBLING PROJECT'S WORK ITEM. Nothing compiled for NS-0006 may include it.
OBJ-0009	task	1	NS-0006	2	closed	2026-08-02T14:45:46Z	2026-08-02T14:45:47Z	ACT-0002	ACT-0002	ACT-0002	operator	ART-0003	-	-	-	internal	project	observed	9650de33b5228262d078b312c13dd2fc6f96600bd468f83b55859c7c1dba830e	PACKET-0035-cross-surface-memory-kernel — BUILT: eight canonical stores, one governed adapter, a deterministic context compiler, a version-bound context package and a transcript-free ChatGPT export.
